id	from	to	name
5fb21708-fc5f-42c2-b03f-3bb094d400da	c7bc3842-6d28-4869-af33-df2a24180513	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Silk Road
379f1cff-9d7a-436a-a528-1f663aba2a38	c7bc3842-6d28-4869-af33-df2a24180513	14646350-d755-4ab6-b13f-c12e73b07a47	Indian Ocean Trade
6d6e2015-388d-4d73-b265-ea3f1bcc2d86	14646350-d755-4ab6-b13f-c12e73b07a47	ad576d4b-190d-402c-86f6-e719eed11ee1	Trans-Saharan Routes
bf618c96-b65e-4325-b5b6-5ec2f3b79e0a	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	ad576d4b-190d-402c-86f6-e719eed11ee1	Mediterranean Trade
2321ddb4-152d-4631-b456-9d6eb83640a9	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	14646350-d755-4ab6-b13f-c12e73b07a47	Portuguese Exploration
6711df8a-85f6-4f03-b428-1a23a218f7bf	ad576d4b-190d-402c-86f6-e719eed11ee1	4446a1cb-fd59-48f4-9d1b-48032afc7c1f	Ottoman Expansion West
9f4a0480-3ee9-44dd-917f-3af039c5b883	c7bc3842-6d28-4869-af33-df2a24180513	14646350-d755-4ab6-b13f-c12e73b07a47	Zheng He Voyages
d7aa98f5-71e5-4810-8779-0f44673a87a6	78258247-9723-4cf1-b876-9d56f2a38812	baca9476-8fa9-40cb-ae0a-f2f53ccbfec8	Aztec–Maya Trade
6f94d1f6-16a8-473e-aa47-3343b0ee0c1f	16943c93-c06b-43ed-b830-def7ae3025f8	78258247-9723-4cf1-b876-9d56f2a38812	Inca Road Network
